,Unnamed: 0,album_release_date,album_type,album_name,track_explicit,track_track,track_name,track_id,playlist_id,multiple_artists,Artist_1,Artist_2,Artist_3,Artist_4,Artist_5,new_track_name,lyrics,g_full_titles,g_artists,playlist_name,g_title,title_match_score,title_pass_fail,cleaned_lyrics,yt_explicit_words,yt_explicit_count,cmu_explicit_words,cmu_explicit_count
0,0,1958-03-21,album,Elvis' Golden Records,False,True,Don't Be Cruel,01u6AEzGbGbQyYVdxajxqk,37i9dQZF1DWSV3Tk4GO2fq,False,Elvis Presley,,,,,Don't Be Cruel,"You know I can be found Sitting home all alone If you can't come around At least please telephone Don't be cruel to a heart that's true  Baby, if I made you mad For something I might have said Please, let's forget the past The future looks bright ahead Don't be cruel to a heart that's true I don't want no other love Baby, it's just you I'm thinking of  Don't stop thinking of me Don't make me feel this way C'mon over here and love me You know what I want you to say Don't be cruel to a heart that's true Why should we be apart? I really love you, baby, cross my heart  Let's walk up to the preacher And let us say ""I do"" Then you'll know you'll have me And I'll know that I'll have you Don't be cruel to a heart that's true I don't want no other love Baby, it's just you I'm thinking of Don't be cruel to a heart that's true Don't be cruel to a heart that's true I don't want no other love Baby, it's just you I'm thinking of9",Don't Be Cruel by Elvis Presley,Elvis Presley,1950s,Don't Be Cruel,100,pass,"{'', 'future', 'looks', 'thinking', 'said', 'alone', 'love', 'cruel', 'know', 'something', 'might', 'heart', 'walk', 'let', 'found', 'bright', 'feel', 'come', 'made', 'cross', 'least', 'want', 'really', 'baby', 'please', 'home', 'us', 'around', 'ahead', 'stop', 'preacher', 'make', 'apart', 'cannot', 'sitting', 'of9', 'say', 'mad', 'telephone', 'forget', 'past', 'cmon', 'way', 'true'}",set(),0,{'mad'},1
1,1,1956-03,album,Songs For Swingin' Lovers! (Remastered),False,True,I've Got You Under My Skin - Remastered 1998,3aEJMh1cXKEjgh52claxQp,37i9dQZF1DWSV3Tk4GO2fq,False,Frank Sinatra,,,,,I've Got You Under My Skin,"I've got you under my skin I've got you deep in the heart of me So deep in my heart that you're really a part of me I've got you under my skin I tried so not to give in I said to myself, 'this affair never will go so well' But why should I try to resist when, baby, I know so well I've got you under my skin  I'd sacrifice anything, come what might For the sake of having you near In spite of a warning voice that comes in the night And repeats, repeats in my ear  ""Don't you know little fool, you never can win? Use your mentality, wake up to reality"" But each time that I do, just the thought of you Makes me stop before I begin 'Cause I've got you under my skin  I would sacrifice anything, come what might For the sake of having you near In spite of a warning voice that comes in the night And repeats, how it yells in my ear ""Don't you know, little fool, you never can win? Why not use your mentality? Step up, wake up to reality"" But each time I do, just the thought of you Makes me stop just before I begin 'Cause I've got you under my skin Yes, I've got you, under my skin14",I've Got You Under My Skin by Frank Sinatra,Frank Sinatra,1950s,I've Got You Under My Skin,100,pass,"{'', 'makes', 'would', 'yes', 'give', 'affair', 'fool', 'said', 'never', 'well', 'repeats', 'time', 'know', 'might', 'little', 'step', 'warning', 'wake', 'yells', 'heart', 'resist', 'reality', 'got', 'sake', 'win', 'come', 'comes', 'part', 'tried', 'really', 'baby', 'go', 'near', 'deep', 'mentality', 'voice', 'spite', 'stop', 'begin', 'skin14', 'try', 'night', 'dont', 'use', 'sacrifice', 'anything', 'skin', 'thought', 'ear'}",set(),0,set(),0
2,2,1995-01-01,album,The Best Of The Platters,False,True,Smoke Gets In Your Eyes,307XEC1IUwUs9ojlEFwH7f,37i9dQZF1DWSV3Tk4GO2fq,False,The Platters,,,,,Smoke Gets In Your Eyes,"They asked me how I knew My true love was true I of course replied, something here inside Cannot be denied They said some day you'll find All who love are blind When your heart's on fire, you must realize Smoke gets in your eyes So I chaffed them and I gaily laughed To think they could doubt my love Yet today my love has flown away I am without my love (Without my love) Now laughing friends deride Tears I cannot hide, hide So I smile and say, when a lovely flame dies Smoke gets in your eyes (Smoke gets in your eyes) (Smoke gets in your eyes) Smoke gets in your eyes!4",Smoke Gets in Your Eyes by The Platters,The Platters,1950s,Smoke Gets in Your Eyes,100,pass,"{'day', 'realize', 'replied', 'said', 'friends', 'gaily', 'smoke', 'love', 'something', 'must', 'without', 'dies', 'asked', 'doubt', 'hide', 'away', 'inside', 'denied', 'eyes', 'think', 'eyes4', 'knew', 'blind', 'smile', 'find', 'gets', 'yet', 'could', 'flown', 'lovely', 'deride', 'course', 'laughing', 'fire', 'tears', 'cannot', 'say', 'flame', 'hearts', 'chaffed', 'today', 'true', 'laughed'}",set(),0,"{'fire', 'blind', 'dies'}",3
3,3,1959,album,What'd I Say,False,True,"What'd I Say, Pt. 1 & 2",5yQ9iMZXGcr5rlO4hoLsP4,37i9dQZF1DWSV3Tk4GO2fq,False,Ray Charles,,,,,"What'd I Say, Pt. 1 & 2","Hey mama, don't you treat me wrong Come and love your daddy all night long All right now, hey hey, all right See the girl with the diamond ring She knows how to shake that thing All right now now now, hey hey, hey hey Tell your mama, tell your pa I'm gonna send you back to Arkansas Oh yes, ma'am, you don't do right, don't do right Ah, play it, boy When you see me in misery Come on baby, see about me Now yeah, hey hey, all right See the girl with the red dress on She can do the Birdland all night long Yeah yeah, what'd I say? All right  Well, tell me what'd I say, yeah Tell me what'd I say right now Tell me what'd I say Tell me what'd I say right now Tell me what'd I say Tell me what'd I say And I want to know Baby, I want to know right now And I want to know Baby, I want to know right now, yeah And I want to know Baby, I want to know, yeah  Hey, don't quit now! (Come on, honey) Naw, I got, I uh-uh-uh, I'm (stop! stop! we'll do it again) Wait a minute, wait a minute, oh hold it! Hold it! Hold it! Hey (hey) ho (ho) hey (hey) ho (ho) hey (hey) ho (ho) hey One more time (just one more time)  Say it one more time right now (just one more time) Say it one more time now (just one more time) Say it one more time yeah (just one more time) Say it one more time (just one more time) Say it one more time (just one more time)  Hey (hey) ho (ho) hey (hey) ho (ho) hey (hey) ho (ho) hey Ah! Make me feel so good (make me feel so good) Make me feel so good now, yeah (make me feel so good) Woah! Baby (make me feel so good) Make me feel so good yeah (make me feel so good) Make me feel so good (make me feel so good) Make me feel so good yeah (make me feel so good) Ah it's all right (baby it's all right) Said it's all right (baby it's all right) Said it's all right (baby it's all right) Said it's all right (baby it's all right) Said it's all right (baby it's all right) Said it's all right (baby it's all right)  Woah! Shake that thing now (baby shake that thing) Baby, shake that thing right now (baby shake that thing) Baby, shake that thing (baby shake that thing) Baby, shake that thing right now (baby shake that thing) Baby, shake that thing (baby shake that thing) Baby, shake that thing (baby shake that thing)  Woah! I feel all right now yeah (make me feel all right) I feel all right now yeah (make me feel all right) Woah! (make me feel all right) I feel all right (make me feel all right) I feel all right (make me feel all right) I feel all right (make me feel all right)4",What'd I Say (Parts 1 & 2) by Ray Charles,Ray Charles,1950s,What'd I Say (Parts 1 & 2),86,pass,"{'', 'red', 'wait', 'yeah', 'pa', 'yes', 'oh', 'diamond', 'send', 'said', 'well', 'tell', 'time', 'love', 'know', 'boy', 'ring', 'birdland', 'hey', 'long', 'got', 'right4', 'girl', 'going', 'one', 'feel', 'come', 'wrong', 'mama', 'shake', 'honey', 'naw', 'thing', 'arkansas', 'uhuhuh', 'want', 'ah', 'baby', 'play', 'hold', 'ho', 'back', 'minute', 'stop', 'knows', 'good', 'night', 'make', 'woah', 'maam', 'daddy', 'say', 'misery', 'see', 'quit', 'treat', 'right', 'dress'}",{'ho'},1,{'ho'},1
4,4,1996-06-04,album,Ella & Friends,False,True,Dream A Little Dream Of Me,3vFVS2WYHDG4KkWCNecvpn,37i9dQZF1DWSV3Tk4GO2fq,True,Ella Fitzgerald,Louis Armstrong,,,,Dream A Little Dream Of Me,"Stars shining bright above you Night breezes seem to whisper, I love you Birds singin' in the sycamore trees Dream a little dream of me  Say nighty-night and kiss me Just hold me tight and tell me you'll miss me While I'm alone and blue as can be Dream a little dream of me  Stars fading but I linger on dear Still craving your kiss Now I'm longin' to linger till dawn dear Just saying this  Sweet dreams till sunbeams find you Sweet dreams that leave all worries behind you But in your dreams whatever they be Dream a little dream of me  Stars fading but I linger on dear Still craving your kiss I'm longin' to linger till dawn dear Just saying this Sweet dreams till sunbeams find you Leave the worries behind you But in your dreams, whatever may be You've gotta make me a promise, promise to me You'll dream, dream a little dream of me12",Dream a Little Dream of Me by Ella Fitzgerald & Louis Armstrong,Ella Fitzgerald & Louis Armstrong,1950s,Dream a Little Dream of Me,100,pass,"{'', 'leave', 'breezes', 'birds', 'trees', 'tell', 'love', 'singin', 'alone', 'craving', 'little', 'longin', 'still', 'miss', 'whatever', 'promise', 'sunbeams', 'fading', 'saying', 'got', 'dear', 'bright', 'whisper', 'till', 'find', 'nightynight', 'hold', 'stars', 'tight', 'dawn', 'dreams', 'me12', 'shining', 'kiss', 'night', 'sycamore', 'make', 'blue', 'worries', 'seem', 'sweet', 'say', 'dream', 'may', 'behind', 'linger'}",set(),0,set(),0
5,5,1958-06-01,album,That'll Be The Day,False,True,That'll Be The Day,50RwvvEKX5Q7AZt8FTAwIF,37i9dQZF1DWSV3Tk4GO2fq,False,Buddy Holly,,,,,That'll Be The Day,"Well, that'll be the day, when you say goodbye Yes, that'll be the day, when you make me cry You say you're going to leave, you know it's a lie Because that'll be the day when I die  Well, you give me all your lovin' and your turtle dovin' All your hugs and kisses and your money too Well, you know you love me baby Until you tell me, maybe That someday, well I'll be through  Well, that'll be the day, when you say goodbye Yes, that'll be the day, when you make me cry You say you're going to leave, you know it's a lie Because that'll be the day when I die Well, that'll be the day, when you say goodbye Yes, that'll be the day, when you make me cry You say you're going to leave, you know it's a lie Because that'll be the day when I die  Well, when Cupid shot his dart He shot it at your heart So if we ever part and I leave you You sit and hold me and you tell me boldly That someday, well I'll be blue Well, that'll be the day, when you say goodbye Yes, that'll be the day, when you make me cry You say you're going to leave, you know it's a lie Because that'll be the day when I die  Well, that'll be the day, hoo-hoo That'll be the day, hoo-hoo That'll be the day, hoo-hoo That'll be the day4",That’ll Be the Day by Buddy Holly,Buddy Holly,1950s,That’ll Be the Day,94,pass,"{'', 'day', 'leave', 'hugs', 'sit', 'lovin', 'yes', 'give', 'money', 'hoohoo', 'well', 'tell', 'love', 'day4', 'know', 'turtle', 'cry', 'lie', 'heart', 'dart', 'boldly', 'ever', 'going', 'maybe', 'goodbye', 'someday', 'part', 'die', 'baby', 'hold', 'dovin', 'kisses', 'make', 'blue', 'shot', 'say', 'cupid'}",set(),0,{'die'},1
6,6,1959-01-01,album,Fats Domino Swings,False,True,Blueberry Hill,06PdA0DLgF4BfAeUNZAbFG,37i9dQZF1DWSV3Tk4GO2fq,False,Fats Domino,,,,,Blueberry Hill,"I found my thrill on Blueberry Hill On Blueberry Hill, when I found you  The moon stood still on Blueberry Hill And lingered until my dream came true  The wind in the willow played Love's sweet melody But all of those vows you made Were never to be  Though we're apart, you're part of me still For you were my thrill on Blueberry Hill  The wind in the willow played Love's sweet melody But all of those vows you made Were only to be  Though we're apart, you're part of me still For you were my thrill on Blueberry Hill1",Blueberry Hill by Fats Domino,Fats Domino,1950s,Blueberry Hill,100,pass,"{'', 'blueberry', 'moon', 'never', 'vows', 'loves', 'played', 'still', 'melody', 'found', 'willow', 'made', 'came', 'hill', 'part', 'stood', 'though', 'thrill', 'apart', 'wind', 'hill1', 'sweet', 'dream', 'true', 'lingered'}",set(),0,set(),0
7,7,2012-06-14,album,Top 100 Hits - Rock And Roll,False,True,(‘Til) I Kissed You,1vVY5vd4kowd70TdTuEjfV,37i9dQZF1DWSV3Tk4GO2fq,False,The Everly Brothers,,,,,I Kissed You,"How did I exist until I kissed ya' Never had you on my mind Now you're there all the time Never knew what I missed till I kissed ya', uh huh I kissed ya', oh yeah Things have really changed since I kissed ya', uh huh My life's not the same now that I kissed ya', oh yeah Mmm, you got a way about ya' Now i can't live without ya' Never knew what I missed till I kissed ya', uh huh I kissed ya', oh yeah You don't realize what you do to me And I'll didn't realized what a kiss could be Mmm, you got a way about ya' Now I can't live without ya' Never knew what I missed till I kissed ya', uh huh I kissed ya', oh yeah You don't realize what you do to me And I'll didn't realized what a kiss could be Mmm, You got a way about ya' Now I can't live without ya' Never knew what I missed till I kissed ya', uh huh I kissed ya', oh yeah I kissed ya', uh huh I kissed ya', oh yeah I kissed ya', uh huh...",I Kissed You by ​The Everly Brothers,​The Everly Brothers,1950s,I Kissed You,100,pass,"{'things', 'exist', 'realize', 'yeah', 'since', 'oh', 'never', 'time', 'without', 'lifes', 'ya', 'got', 'missed', 'mmm', 'knew', 'mind', 'really', 'till', 'could', 'changed', 'kissed', 'uh', 'kiss', 'cannot', 'realized', 'live', 'way', 'huh'}",set(),0,set(),0
8,8,1989-01-01,album,The Capitol Years,False,True,That's Amore,3x6wVKXfCm85Pw7gYo0rqq,37i9dQZF1DWSV3Tk4GO2fq,True,Dean Martin,Dick Stabile And His Orchestra,,,,That's Amore,"(In Napoli where love is king) (When boy meets girl) (Here's what they say)  When the moon hits your eye Like a big pizza pie, that's amore When the world seems to shine Like you've had too much wine, that's amore  Bells will ring, ting-a-ling-a-ling Ting-a-ling-a-ling and you'll sing, ""Vita bella"" Hearts will play tippy-tippy-tay Tippy-tippy-tay like a gay tarantella  When the stars make you drool Just like a pasta e fasule, that's amore When you dance down the street With a cloud at your feet, you're in love When you walk in a dream But you know, you're not dreaming, signore Scusami, but you see Back in old Napoli, that's amore (When the moon hits your eye) (Like a big pizza pie, that's amore) That's amore (When the world seems to shine) (Like you've had too much wine, that's amore) That's amore  (Bells will ring ting-a-ling-a-ling) (Ting-a-ling-a-ling and you'll sing, ""Vita bella, vita bella, vita bella"") (Hearts will play tippy-tippy-tay) (Tippy-tippy-tay like a gay tarantella) Lucky fella  When the stars make you drool Just like a pasta e fasule, that's amore (That's amore) When you dance down the street With a cloud at your feet, you're in love When you walk in a dream But you know, you're not dreaming, signore Scusami, but you see Back in old Napoli, that's amore  (Amore) That's amore7",That's Amore by Dean Martin,Dean Martin,1950s,That's Amore,100,pass,"{'', 'eye', 'amore7', 'shine', 'moon', 'heres', 'seems', 'bella', 'vita', 'love', 'pie', 'know', 'boy', 'tarantella', 'world', 'big', 'ring', 'dance', 'fella', 'amore', 'much', 'drool', 'e', 'thats', 'walk', 'girl', 'napoli', 'pasta', 'feet', 'bells', 'wine', 'like', 'old', 'play', 'stars', 'signore', 'street', 'back', 'king', 'meets', 'sing', 'make', 'cloud', 'tingalingaling', 'scusami', 'lucky', 'fasule', 'say', 'gay', 'hearts', 'dream', 'hits', 'dreaming', 'see', 'pizza', 'tippytippytay'}",set(),0,{'gay'},1
10,10,1958-03-21,album,Elvis' Golden Records,False,True,Hound Dog,64Ny7djQ6rNJspquof2KoX,37i9dQZF1DWSV3Tk4GO2fq,False,Elvis Presley,,,,,Hound Dog,"You ain't nothing but a hound dog Crying all the time You ain't nothing but a hound dog Crying all the time Well, you ain't never caught a rabbit And you ain't no friend of mine  When they said you was high classed Well, that was just a lie Yeah, they said you was high classed Well, that was just a lie Yeah, you ain't never caught a rabbit And you ain't no friend of mine  You ain't nothing but a hound dog Crying all the time You ain't nothing but a hound dog Crying all the time Well, you ain't never caught a rabbit And you ain't no friend of mine  Ahh, ahh Ahh, ahh When they said you was high classed Well, that was just a lie Yeah, they said you was high classed Well, that was just a lie Well, you ain't never caught a rabbit And you ain't no friend of mine  Ahh, ahh Ahh, ahh  When they said you was high classed Well, that was just a lie You know, they said you was high classed Well, that was just a lie Yeah, you ain't never caught a rabbit And you ain't no friend of mine  You ain't nothing but a hound dog Crying all the time You ain't nothing but a hound dog Crying all the time Well, you ain't never caught a rabbit You ain't no friend of mine17",Hound Dog by Elvis Presley,Elvis Presley,1950s,Hound Dog,100,pass,"{'', 'caught', 'yeah', 'said', 'never', 'time', 'well', 'high', 'know', 'lie', 'hound', 'nothing', 'mine', 'friend', 'rabbit', 'crying', 'dog', 'mine17', 'classed', 'ahh'}",set(),0,set(),0
11,11,1995-01-01,album,The Best Of The Platters,False,True,Twilight Time,1tu5rCtK0jCLMeoWCYnttf,37i9dQZF1DWSV3Tk4GO2fq,False,The Platters,,,,,Twilight Time,Heavenly shades of night are falling It's twilight time Out of the mist your voice is calling 'Tis twilight time When purple colored curtains Mark the end of day I'll hear you my dear at twilight time Deepening shadows gather splendor As day is done Fingers of night will soon surrender The setting sun I count the moments darling 'Till you're here with me Together at last at twilight time Here in the afterglow of day We keep our rendezvous beneath the blue Here in the sweet and same old way I fall in love again as I did then Deep in the dark your kiss will thrill me Like days of old Lighting the spark of love that fills me With dreams untold Each day I pray for evening just To be with you Together at last at twilight time Here in the afterglow of day We keep our rendezvous beneath the blue Here in the sweet and same old way I fall in love again as I did then Deep in the dark your kiss will thrill me Like days of old Lighting the spark of love that fills me With dreams untold Each day I pray for evening just To be with you Together at last at twilight time Together at last at twilight time1,Twilight Time by The Platters,The Platters,1950s,Twilight Time,100,pass,"{'day', 'days', 'gather', 'twilight', 'time', 'love', 'lighting', 'deepening', 'dark', 'count', 'surrender', 'calling', 'dear', 'colored', 'afterglow', 'soon', 'setting', 'darling', 'end', 'heavenly', 'fingers', 'like', 'keep', 'old', 'together', 'fills', 'rendezvous', 'till', 'untold', 'done', 'evening', 'sun', 'dreams', 'deep', 'voice', 'mark', 'thrill', 'mist', 'beneath', 'falling', 'kiss', 'night', 'hear', 'shadows', 'blue', 'splendor', 'time1', 'sweet', 'purple', 'fall', 'shades', 'moments', 'way', 'pray', 'spark', 'curtains', 'last'}",set(),0,{'colored'},1
12,12,1957,album,The Call Of The Wildest (Expanded Edition),False,True,Pennies From Heaven,4tmy6FB76bR5eLmx0zO1mn,37i9dQZF1DWSV3Tk4GO2fq,True,Louis Prima,Sam Butera & The Witnesses,,,,Pennies From Heaven,"If every time it rains, it rains, pennies from heaven (Shubby Dobby) Don't you know each cloud contains pennies from heaven (Shubby Dobby) You'll find your fortune falling all over town Each red and yella umbrella is up up up up upside down and... Trade them all for a pack of a gum, sunshine and ravioli (Macaroni) If you want the thing you love, you must have a pizzioli baby And when you hear thunder don't run under a tree It be pennies from heaven, for you and for me Now come over here boy, Sam And every time it rains it rains And don't you know each cloud contains Every time it rains, it rains And don't you know each cloud contains You find your fortune falling All over town, all over town, all over town Each red and yella umbrella Is upside down twiddily bop A ha ba hozzie white Eagle eye la homba lee Zombalomba zompolot Old wodilly boy oh Ahhh bobba hoy boy Ohhhh boy a hoy boy Toddaly whoa, OOOOH! I knew I'd get ya I knew I'd get ya Let's go, let's go And you'll find your fortune falling all over town It be pennies from heaven Pennies from heaven The pennies from heaven For you and me",Pennies from Heaven by Louis Prima,Louis Prima,1950s,Pennies from Heaven,100,pass,"{'sunshine', 'heaven', 'red', 'eye', 'bobba', 'would', 'oh', 'twiddily', 'time', 'dobby', 'love', 'know', 'zombalomba', 'must', 'boy', 'ohhhh', 'lee', 'homba', 'contains', 'ya', 'fortune', 'eagle', 'rains', 'toddaly', 'let', 'bop', 'ravioli', 'come', 'ba', 'every', 'tree', 'whoa', 'ooooh', 'pizzioli', 'knew', 'thing', 'macaroni', 'old', 'wodilly', 'want', 'la', 'baby', 'find', 'run', 'ha', 'go', 'hozzie', 'pennies', 'zompolot', 'ahhh', 'get', 'us', 'shubby', 'falling', 'gum', 'hear', 'cloud', 'pack', 'white', 'upside', 'thunder', 'sam', 'yella', 'town', 'trade', 'hoy', 'umbrella'}",set(),0,set(),0
13,13,2008-01-01,album,It's Only Make Believe/The MGM Years,False,True,It's Only Make Believe - Single Version,6Em0JcoORXzv0BGfxAacpv,37i9dQZF1DWSV3Tk4GO2fq,False,Conway Twitty,,,,,It's Only Make Believe,"People see us everywhere They think you really care But myself, I can't deceive I know it's only make believe My one and only prayer Is that someday you'll care My hopes, my dreams come true My one and only you No one will ever know How much I love you so My only prayer will be Someday you'll care for me But it's only make believe My hopes, my dreams come true My life I'd give for you My heart, a wedding ring My all, my everything My heart I can't control You rule my very soul My only prayer will be Someday you'll care for me But it's only make believe My one and only prayer Is that some day you'll care My hopes, my dreams come true My one and only you No one will ever know How much I love you so My prayers, my hopes, my schemes You are my every dream But it's only make believe (make believe)2",It's Only Make Believe by Conway Twitty,Conway Twitty,1950s,It's Only Make Believe,100,pass,"{'day', 'control', 'would', 'soul', 'give', 'prayer', 'love', 'know', 'believe2', 'heart', 'ring', 'prayers', 'believe', 'much', 'everywhere', 'ever', 'think', 'care', 'one', 'deceive', 'come', 'schemes', 'every', 'everything', 'someday', 'people', 'really', 'life', 'wedding', 'dreams', 'us', 'hopes', 'make', 'cannot', 'rule', 'dream', 'see', 'true'}",set(),0,set(),0
14,14,1990-09-18,album,Goodfellas - Music From The Motion Picture,False,True,Rags To Riches,6TK8A5OtTwjm6g93zLd9HO,37i9dQZF1DWSV3Tk4GO2fq,False,Tony Bennett,,,,,Rags To Riches,I know I'd go from rages to riches If you would only say you care And though my pocket may be empty I'd be a millionaire  My clothes may still be torn and tattered But in my heart I'd be a king Your love is all that ever mattered It's everything  So open your arms and you'll open the door To every treasure I'm hoping for Hold me and kiss me and tell me you're mine evermore  Must I forever be a begger Whose golden dreams will not come true Or will I go from rags to riches My fate is up to you  3,Rags To Riches by Tony Bennett (Ft. Elton John),Tony Bennett,1950s,Rags To Riches,100,pass,"{'pocket', '', 'rags', 'would', 'hoping', '3', 'open', 'tell', 'forever', 'love', 'know', 'must', 'door', 'still', 'heart', 'riches', 'golden', 'ever', 'mine', 'care', 'arms', 'come', 'every', 'everything', 'empty', 'mattered', 'go', 'though', 'torn', 'hold', 'begger', 'dreams', 'fate', 'evermore', 'king', 'tattered', 'rages', 'millionaire', 'clothes', 'kiss', 'say', 'treasure', 'may', 'whose', 'true'}",set(),0,set(),0
15,15,1958,album,Buddy Holly,False,True,Everyday,39lnzOIUCSNaQmgBHoz7rt,37i9dQZF1DWSV3Tk4GO2fq,False,Buddy Holly,,,,,Everyday,"Every day, it's a-getting closer Going faster than a rollercoaster Love like yours will surely come my way A-hey, a-hey-hey  Every day, it's a-getting faster Everyone said, ""Go ahead and ask her"" Love like yours will surely come my way A-hey, a-hey-hey  Every day seems a little longer Every way, love's a little stronger Come what may Do you ever long for true love from me  Every day, it's a-getting closer Going faster than a rollercoaster Love like yours will surely come my way A-hey, a-hey-hey  Every day seems a little longer Every way, love's a little stronger Come what may Do you ever long for true love from me  Every day, it's a-getting closer Going faster than a rollercoaster Love like yours will surely come my way A-hey, a-hey-hey  Love like yours will surely come my way4",Everyday by Buddy Holly,Buddy Holly,1950s,Everyday,100,pass,"{'', 'day', 'everyone', 'seems', 'said', 'ask', 'love', 'stronger', 'way4', 'little', 'loves', 'longer', 'long', 'agetting', 'ever', 'going', 'come', 'every', 'like', 'go', 'rollercoaster', 'faster', 'ahey', 'ahead', 'aheyhey', 'closer', 'may', 'surely', 'way', 'true'}",set(),0,set(),0
16,16,1986-01-01,album,The Platters Golden Hits,False,True,The Great Pretender,2FkCjtQ1lYsf71s2FAS8hE,37i9dQZF1DWSV3Tk4GO2fq,False,The Platters,,,,,The Great Pretender,"Oh-oh, yes I'm the great pretender Pretending that I'm doing well My need is such I pretend too much I'm lonely but no one can tell  Oh-oh, yes I'm the great pretender Adrift in a world of my own I've played the game but to my real shame You've left me to grieve all alone  Too real is this feeling of make-believe Too real when I feel what my heart can't conceal  Yes, I'm the great pretender Just laughin' and gay like a clown I seem to be what I'm not, you see I'm wearing my heart like a crown Pretending that you're still around  Too real is this feeling of make-believe Too real when I feel what my heart can't conceal Yes, I'm the great pretender Just laughin' and gay like a clown I seem to be what I'm not, you see I'm wearing my heart like a crown Pretending that you're still around6",The Great Pretender by The Platters,The Platters,1950s,The Great Pretender,100,pass,"{'', 'need', 'feeling', 'yes', 'shame', 'conceal', 'well', 'tell', 'alone', 'pretending', 'played', 'game', 'world', 'left', 'makebelieve', 'clown', 'pretender', 'heart', 'still', 'much', 'one', 'feel', 'around6', 'grieve', 'laughin', 'wearing', 'pretend', 'like', 'real', 'ohoh', 'around', 'great', 'lonely', 'cannot', 'adrift', 'crown', 'seem', 'gay', 'see'}",set(),0,{'gay'},1
17,17,2010-10-04,album,"""All I Do Is Dream"" Everly Brothers",False,True,Bye Bye Love,1j7HyD3cxyYw9bMFevxWyR,37i9dQZF1DWSV3Tk4GO2fq,False,The Everly Brothers,,,,,Bye Bye Love,"Bye bye love Bye bye happiness Hello loneliness I think I'm gonna cry Bye bye love Bye bye sweet caress Hello emptiness I feel like I could die Bye bye my love goodbye  There goes my baby with someone new She sure looks happy, I sure am blue She was my baby 'till he stepped in Goodbye to romance that might've been  Bye bye love Bye bye happiness Hello loneliness I think I'm gonna cry Bye bye love Bye bye sweet caress Hello emptiness I feel like I could die Bye bye my love goodbye I'm through with romance, I'm through with love I'm through with counting the stars above And here's the reason that I'm so free My lovin' baby is through with me  Bye bye love Bye bye happiness Hello loneliness I think I'm gonna cry Bye bye love Bye bye sweet caress Hello emptiness I feel like I could die Bye bye my love goodbye Bye bye my love goodbye Bye bye my love goodbye Bye bye my love goodbye6",Bye Bye Love by ​The Everly Brothers,​The Everly Brothers,1950s,Bye Bye Love,100,pass,"{'', 'looks', 'lovin', 'sure', 'love', 'someone', 'cry', 'might', 'happiness', 'caress', 'think', 'bye', 'going', 'feel', 'goodbye6', 'goodbye', 'goes', 'like', 'die', 'baby', 'till', 'free', 'romance', 'could', 'stars', 'loneliness', 'stepped', 'counting', 'reason', 'hello', 'emptiness', 'blue', 'new', 'sweet', 'happy'}",set(),0,{'die'},1
18,18,1958-03-21,album,Elvis' Golden Records,False,True,"Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender""",4GAhAw0RCzNVP976NRMOqO,37i9dQZF1DWSV3Tk4GO2fq,False,Elvis Presley,,,,,Love Me Tender,"Love me tender, love me sweet Never let me go You have made my life complete And I love you so  Love me tender, love me true All my dreams fulfilled For my darling I love you And I always will  Love me tender, love me long Take me to your heart For it's there that I belong And we'll never part  Love me tender, love me true All my dreams fulfilled For my darling I love you And I always will  Love me tender, love me dear Tell me you are mine I'll be yours through all the years Till the end of time Love me tender, love me true All my dreams fulfilled For my darling I love you And I always will7",Love Me Tender by Elvis Presley,Elvis Presley,1950s,Love Me Tender,100,pass,"{'', 'never', 'time', 'tell', 'love', 'always', 'heart', 'long', 'fulfilled', 'years', 'let', 'dear', 'complete', 'mine', 'darling', 'take', 'made', 'end', 'belong', 'part', 'will7', 'life', 'till', 'go', 'dreams', 'sweet', 'true', 'tender'}",set(),0,set(),0
